,unknown,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99,data_year,offense_type_list
1748,1265,7,4039,5829,3406,1663,513,95,13,0,40,2000,crime-against-property
1749,15771,43,4482,12949,7998,4418,1718,285,36,8,62,2011,crime-against-property
1750,15,0,17,36,25,18,9,4,0,0,0,2001,crime-against-property
1751,1042,9,226,416,438,217,103,14,6,0,1,2015,crime-against-property
1752,426,2,206,472,310,200,143,33,7,3,2,2015,crime-against-property
1753,310,1,99,205,119,25,4,3,3,0,522,1992,crime-against-property
1754,1398,18,10940,15705,8295,4658,1856,351,45,7,12,2011,crime-against-property
1755,1525,397,2423,687,514,374,162,38,17,4,19,1999,crime-against-property
1756,4909,827,47595,19770,16317,9136,2859,871,435,123,144,1998,crime-against-property
1757,23641,110,4667,3484,1342,1721,2778,58,7,2,37,2002,crime-against-property
1758,0,0,1,4,0,3,0,0,0,0,3,1991,crime-against-property
1759,2948,11,3671,6618,4476,1732,375,67,25,3,63,1997,crime-against-property
1760,32952,353,21940,24241,15551,10300,2918,707,135,43,231,2004,crime-against-property
1761,80536,1360,23911,14480,7449,2253,614,166,52,39,805,1993,crime-against-property
1762,921,6,862,1169,582,296,173,27,5,3,7,2014,crime-against-property
1763,989,4,100,308,241,162,99,16,9,2,14,2005,crime-against-property
1764,22,0,4,18,13,8,2,0,0,0,0,2015,crime-against-property
1765,15407,68,8459,31312,22256,12740,3441,757,160,37,163,2005,crime-against-property
1766,14086,55,5704,12268,7018,4315,1303,226,21,12,83,2008,crime-against-property
1767,39,0,31,50,43,19,10,2,0,0,1,1997,crime-against-property
1768,139725,4235,104433,78923,37247,25994,8062,3390,477,177,1615,2004,crime-against-property
1769,1708,71,3072,3074,1762,562,174,49,15,0,145,1993,crime-against-property
1770,696,0,137,224,113,9,1,0,0,2,281,1991,crime-against-property
1771,14899,39,5087,12864,7626,4574,1403,202,27,4,86,2009,crime-against-property
1772,0,0,0,3,1,1,0,0,0,0,4,1992,crime-against-property
1773,11035,46,4455,10047,6181,3692,1036,210,51,17,78,2006,crime-against-property
1774,2248,12,910,751,442,208,100,27,1,0,6,2001,crime-against-property
1775,59,1,139,131,103,75,23,5,2,0,0,2001,crime-against-property
1776,42,1,19,192,277,140,121,32,15,0,0,2016,crime-against-property
1777,109,1,16,54,42,18,6,3,0,0,0,1994,crime-against-property
1778,1660,18,8829,7912,4561,2612,565,118,13,2,9,2003,crime-against-property
1779,5,0,42,146,79,62,30,10,7,1,0,2014,crime-against-property
1780,5438,21,2645,5752,4099,2178,607,153,18,2,49,2003,crime-against-property
1781,9662,63,8784,3710,2010,563,876,29,8,1,69,1996,crime-against-property
1782,497,4,116,106,47,6,4,2,0,0,567,1991,crime-against-property
1783,8,0,7,8,14,2,0,0,0,0,2,1991,crime-against-property
1784,5861,25,4210,9889,8673,4595,1473,319,67,17,145,2000,crime-against-property
1785,2363,21,10672,11487,6609,4269,1117,189,60,7,9,2006,crime-against-property
1786,1441,18,761,1093,841,386,311,70,7,2,14,2017,crime-against-property
1787,116267,1119,51387,66452,45521,31920,10333,3036,671,175,1494,2004,crime-against-property
1788,11,0,31,159,115,65,35,9,3,2,0,2015,crime-against-property
1789,14029,423,18108,11223,7431,2326,1979,108,37,2,129,1996,crime-against-property
1790,1100,12,801,1237,646,430,337,50,4,0,13,2012,crime-against-property
1791,16267,108,7979,25286,20045,13946,5066,1079,228,45,166,2007,crime-against-property
1792,1034,1,2518,7503,5353,3221,1534,413,60,5,10,2017,crime-against-property
1793,897,7,595,725,365,146,39,11,3,2,6,2001,crime-against-property
1794,1588,26,12245,13237,6635,4361,1422,298,56,7,12,2009,crime-against-property
1795,946,13,1278,2952,2498,1141,335,95,31,7,48,1996,crime-against-property
1796,104036,1209,63417,60407,31228,21474,6478,853,179,63,726,2007,crime-against-property
1797,56327,162,17679,9696,4849,3336,1963,524,57,2,101,2000,crime-against-property
1798,949,1,1939,7456,4714,3080,1348,326,38,7,7,2012,crime-against-property
1799,26193,142,25284,38780,11711,5124,1834,170,30,3,169,2012,crime-against-property
1800,19511,182,979,3055,2293,1081,709,123,24,2,56,2016,crime-against-property
1801,6600,27,2522,1378,510,145,35,7,0,0,17,1994,crime-against-property
1802,61084,843,37956,27351,16869,8171,3010,1250,104,24,281,2000,crime-against-property
1803,25545,97,22241,31857,13482,4791,2472,308,34,10,184,2017,crime-against-property
1804,75302,290,22918,19552,8299,6603,2024,185,39,11,516,2007,crime-against-property
1805,400,7,1395,2180,1207,628,166,32,4,0,8,1997,crime-against-property
1806,83559,3353,57297,33628,18463,9842,5635,613,214,62,623,1999,crime-against-property
1807,37161,111,5059,5479,2138,2235,727,151,7,5,85,2006,crime-against-property
1808,7,0,38,135,99,57,32,15,2,0,0,2013,crime-against-property
1809,2293,649,34795,13804,11046,5493,1684,688,357,110,29,1996,crime-against-property
1810,22692,163,24489,32894,11407,5030,1137,145,26,10,107,2005,crime-against-property
1811,1339,10,3137,7250,4571,2805,888,145,30,3,9,2005,crime-against-property
1812,3503,20,5560,6773,2702,701,179,16,3,2,126,1997,crime-against-property
1813,1130,7,529,670,442,289,84,17,10,0,1,2005,crime-against-property
1814,10196,954,63261,31060,23227,14391,4476,1296,451,140,172,2000,crime-against-property
1815,28998,35,4118,4811,2027,2265,604,146,21,4,68,2009,crime-against-property
1816,5,4,43,13,18,15,3,1,0,0,1,1995,crime-against-property
1817,120,1,300,157,123,29,7,3,1,0,9,1995,crime-against-property
1818,232,1,143,114,91,32,6,1,1,2,6,1997,crime-against-property
1819,916,108,631,207,176,63,30,10,4,2,15,1993,crime-against-property
1820,36,2,8,71,100,56,14,4,0,0,0,2003,crime-against-property
1821,2419,32,12465,21292,15032,6379,2638,454,74,16,14,2016,crime-against-property
1822,152,7,1695,898,521,165,46,8,2,0,0,1994,crime-against-property
1823,18358,534,93647,67507,39972,31851,11953,2332,550,155,96,2007,crime-against-property
1824,146,2,76,102,76,51,16,5,0,0,0,2000,crime-against-property
1825,522,4,1703,2873,1676,678,222,35,7,3,17,1998,crime-against-property
1826,12497,76,7156,28021,20032,12162,3795,646,144,27,77,2007,crime-against-property
1827,36,0,15,136,161,94,39,6,3,0,6,2006,crime-against-property
1828,68252,1002,36993,35464,24888,12352,4729,942,290,59,553,1999,crime-against-property
1829,1146,11,116,327,338,183,103,4,6,0,15,2007,crime-against-property
1830,5132,64,6770,8252,3701,1003,213,25,6,2,161,1998,crime-against-property
1831,18873,33,4402,15998,11825,5802,2686,454,107,14,57,2016,crime-against-property
1832,321,0,369,675,305,67,13,5,0,1,8,1994,crime-against-property
1833,8208,39,6570,15608,11048,4603,1234,232,49,13,116,2000,crime-against-property
1834,13,0,61,190,107,69,40,12,4,1,0,2010,crime-against-property
1835,128,0,239,234,124,23,4,0,0,0,0,1995,crime-against-property
1836,28215,28,4927,4110,1679,1894,871,74,47,2,40,2003,crime-against-property
1837,36,0,26,35,23,7,1,1,1,0,0,1996,crime-against-property
1838,1084,8,2492,4095,2959,884,233,43,15,0,23,1996,crime-against-property
1839,122,0,184,235,97,34,10,2,1,0,4,1993,crime-against-property
1840,345,5,195,213,169,85,23,6,2,0,9,1998,crime-against-property
1841,82,0,32,240,236,167,72,20,1,0,0,2009,crime-against-property
1842,12032,15,5793,3580,1787,529,113,26,8,0,156,1993,crime-against-property
1843,16173,36,5302,22993,20321,9957,5369,1339,251,46,86,2017,crime-against-property
1844,37386,737,29119,18633,12279,4429,2404,209,72,17,582,1998,crime-against-property
1845,60,0,32,234,205,160,71,15,3,1,0,2008,crime-against-property
1846,10646,50,4886,24030,17521,9516,4033,832,205,41,62,2012,crime-against-property
1847,4496,34,2186,6430,4840,2842,749,196,28,4,24,2004,crime-against-property
1848,1497,14,8285,7195,3957,2134,473,117,16,8,11,2002,crime-against-property
1849,1820,9,88,364,312,233,125,31,2,2,11,2012,crime-against-property
1850,213,1,168,359,266,182,113,45,5,2,2,2013,crime-against-property
1851,1183,5,378,473,404,251,135,12,4,1,1,2013,crime-against-property
1852,27382,34,2842,4702,2378,1386,601,96,20,4,58,2011,crime-against-property
1853,31247,163,19656,19597,12574,7487,1660,382,41,19,391,2004,crime-against-property
1854,33441,133,14298,6628,3463,1110,1066,36,8,8,330,1998,crime-against-property
1855,3192,8,129,469,512,314,192,66,9,2,8,2017,crime-against-property
1856,7,0,0,0,0,0,0,0,0,0,0,2013,crime-against-property
1857,1,0,0,0,0,0,0,0,0,0,0,2004,crime-against-property
1858,3,0,1,3,5,5,2,0,0,0,0,1995,crime-against-property
1859,1165,9,1326,1455,621,293,142,22,3,1,10,2010,crime-against-property
1860,2972,71,2707,6412,5386,2639,818,208,51,10,108,1998,crime-against-property
1861,69838,317,20055,18000,7672,5727,1779,906,152,102,500,2005,crime-against-property
1862,25060,463,23350,15202,9804,3327,1976,174,35,12,218,1997,crime-against-property
1863,40,1,43,289,304,186,90,29,4,0,0,2011,crime-against-property
1864,894,5,1237,1401,604,278,177,27,2,4,15,2013,crime-against-property
1865,29739,55,4842,5457,2506,2426,651,140,16,4,54,2008,crime-against-property
1866,2693,343,3696,1176,804,683,291,78,24,5,20,2004,crime-against-property
1867,21780,85,11035,5480,2786,811,850,23,9,6,178,1997,crime-against-property
1868,97646,937,54293,53088,29263,18922,5274,1668,180,69,662,2005,crime-against-property
1869,23506,250,14915,12373,8521,4394,1469,241,73,18,134,1999,crime-against-property
1870,17397,86,6995,23756,19885,13017,4274,1081,194,87,161,2005,crime-against-property
1871,26070,464,98122,118027,68432,44584,22838,5036,971,232,206,2012,crime-against-property
1872,2066,22,2167,4902,4340,2007,552,148,51,3,107,1997,crime-against-property
1873,45797,494,72154,121477,99121,49854,30118,7582,1296,240,177,2017,crime-against-property
1874,5154,22,2555,5392,3694,1766,477,108,13,3,52,2002,crime-against-property
1875,191,0,158,365,256,229,93,25,5,5,1,2010,crime-against-property
1876,1608,2,411,701,426,315,101,22,3,1,5,2010,crime-against-property
1877,1102,3,93,294,290,199,107,22,5,0,6,2006,crime-against-property
1878,14158,808,72779,44651,32029,23065,7190,1688,540,148,99,2003,crime-against-property
1879,33,0,35,196,216,162,60,16,2,2,0,2007,crime-against-property
1880,26,0,1,1,2,3,2,1,0,0,0,2013,crime-against-property
1881,31233,202,18680,37706,26493,13871,8343,1773,322,60,131,2015,crime-against-property
1882,21,0,15,69,80,42,9,5,0,0,1,2000,crime-against-property
1883,122336,4290,85439,56622,30276,17503,9610,3215,328,134,396,2001,crime-against-property
1884,713,7,358,495,367,200,69,15,3,0,0,2002,crime-against-property
1885,3051,307,3719,1688,939,723,418,104,24,8,15,2010,crime-against-property
1886,13907,84,7942,29814,20939,13116,3766,720,157,43,135,2006,crime-against-property
1887,1238,13,3277,6221,4057,2110,683,102,18,3,18,2002,crime-against-property
1888,35720,98,4499,8399,5959,1426,501,195,50,10,25785,1991,crime-against-property
1889,1350,9,89,300,291,231,106,18,3,3,8,2009,crime-against-property
1890,143,1,125,167,152,122,45,28,2,1,2,2004,crime-against-property
1891,2499,7,757,682,497,307,59,38,2,0,42,2004,crime-against-property
1892,9606,43,2569,10095,7922,4553,2071,398,79,16,137,2013,crime-against-property
1893,11852,64,6285,26367,17939,11065,4116,842,168,44,47,2009,crime-against-property
1894,28630,119,12730,21149,14158,7289,3150,495,89,13,188,2013,crime-against-property
1895,12,0,10,103,92,42,10,4,0,0,0,1996,crime-against-property
1896,14298,111,13706,19743,7287,2606,841,86,12,5,71,2002,crime-against-property
1897,94821,1049,46219,48517,33989,19846,10136,1515,417,116,287,2001,crime-against-property
1898,99459,1131,38197,63733,43723,19130,11322,1837,283,78,614,2016,crime-against-property
1899,27988,370,14651,10989,6608,1785,350,78,17,6,86,1994,crime-against-property
1900,17645,29,3461,2472,1129,1272,405,45,5,0,28,2000,crime-against-property
1901,20306,497,120603,99251,50567,37430,16381,3407,779,202,160,2009,crime-against-property
1902,2,0,5,3,7,6,6,0,1,1,0,1993,crime-against-property
1903,86997,871,19862,24722,14401,5462,3826,459,62,8,383,2016,crime-against-property
1904,24379,77,7697,3216,1513,385,73,16,3,0,20,1994,crime-against-property
1905,31247,159,14117,18662,11167,7019,2601,403,74,15,149,2010,crime-against-property
1906,4692,42,1913,2004,1265,317,105,28,5,1,7332,1992,crime-against-property
1907,29268,97,4584,5199,2275,2338,658,97,25,2,112,2007,crime-against-property
1908,10638,50,2800,9431,6971,4232,1723,334,37,12,38,2010,crime-against-property
1909,409,1,70,171,177,126,31,9,2,0,1,2003,crime-against-property
1910,5,0,0,2,5,3,1,2,0,0,0,2010,crime-against-property
1911,17163,617,77773,54721,35635,28264,10703,2118,596,178,138,2006,crime-against-property
1912,4508,20,2466,1161,571,213,195,11,1,0,35,1996,crime-against-property
1913,27254,214,5917,27195,24634,13687,7903,2156,422,82,139,2016,crime-against-property
1914,31489,384,6637,7612,4052,1285,350,157,33,15,29390,1991,crime-against-property
1915,402,0,486,1480,1325,486,141,33,5,3,46,1994,crime-against-property
1916,1135,10,742,976,544,268,70,15,1,0,7,2004,crime-against-property
1917,2406,239,2944,1703,1105,753,504,139,28,10,13,2013,crime-against-property
1918,30690,253,21029,40187,26110,14101,8039,1686,291,68,157,2014,crime-against-property
1919,12861,46,7045,23680,17281,9522,2211,441,99,19,93,2003,crime-against-property
1920,2701,26,6800,3981,2429,675,152,26,11,0,39,1995,crime-against-property
1921,10549,62,5137,23728,16806,9794,4021,862,189,38,55,2011,crime-against-property
1922,922,3,2455,7845,5631,3260,1566,413,68,6,11,2016,crime-against-property
1923,70,0,115,300,198,78,24,4,0,0,0,1994,crime-against-property
1924,79,0,118,177,118,51,5,2,1,0,1,1995,crime-against-property
1925,108315,3181,79422,102240,56314,29784,17592,3726,883,199,580,2014,crime-against-property
1926,23237,19,1012,3028,2569,1287,936,141,31,6,59,2017,crime-against-property
1927,1383,19,1339,2179,1336,455,149,35,4,1,34,1998,crime-against-property
1928,293,1,229,356,139,14,0,0,0,0,4,1993,crime-against-property
1929,7068,29,986,1555,1041,273,78,26,5,1,4005,1991,crime-against-property
1930,25523,175,23332,34502,13517,4574,2419,308,41,11,142,2016,crime-against-property
1931,22632,67,2039,4006,2273,1401,646,119,18,5,94,2012,crime-against-property
1932,3911,30,4510,6449,2341,432,47,12,1,0,50,1994,crime-against-property
1933,1673,5,79,320,285,221,121,18,6,1,9,2011,crime-against-property
1934,3355,56,10592,11698,6603,4173,957,207,37,8,22,2005,crime-against-property
1935,115467,932,44928,89929,66957,38031,23485,5327,1154,262,510,2015,crime-against-property
1936,5,0,13,65,38,34,12,1,1,0,0,2004,crime-against-property
1937,21707,686,10290,7716,4150,1272,325,104,40,12,50030,1992,crime-against-property
1938,682,27,4432,2570,1502,581,116,24,5,1,6,1997,crime-against-property
1939,1224,9,643,1117,798,396,286,68,10,4,5,2016,crime-against-property
1940,182,0,43,59,33,18,4,1,0,0,0,1994,crime-against-property
1941,18244,595,111058,80119,43330,33381,13924,2903,670,148,101,2008,crime-against-property
1942,113747,984,48458,96922,67449,39494,24349,5232,1136,257,577,2014,crime-against-property
1943,38,2,32,308,356,220,95,29,14,1,1,2012,crime-against-property
1944,12292,56,6831,26145,18405,11326,3858,776,140,23,61,2008,crime-against-property
1945,58,0,19,239,261,134,97,53,5,0,0,2017,crime-against-property
1946,286,138,1056,305,235,109,46,9,8,1,3,1995,crime-against-property
1947,7987,27,3579,8769,5614,3146,840,200,45,21,81,2005,crime-against-property
1948,41,0,20,31,27,10,2,8,1,0,0,1993,crime-against-property
1949,9448,44,5051,14441,12639,7548,2424,545,109,15,89,2002,crime-against-property
1950,659,5,451,254,105,41,16,4,2,0,6,1993,crime-against-property
1951,1233,7,108,346,291,214,82,14,4,2,12,2008,crime-against-property
1952,952,1,1149,1671,987,341,94,11,3,0,19,1997,crime-against-property
1953,23714,229,6646,9319,6572,1717,589,233,62,20,43372,1992,crime-against-property
1954,73054,907,44039,36365,20758,11170,4005,1658,92,28,361,2002,crime-against-property
1955,33711,338,19873,19778,13549,7616,2647,486,104,26,121,2001,crime-against-property
1956,115293,2864,79016,105094,60801,30999,18613,4239,1010,241,478,2015,crime-against-property
1957,63592,306,19950,13028,5680,3957,3163,595,22,5,234,2002,crime-against-property
1958,853,19,5284,3524,2066,915,208,52,13,2,15,1998,crime-against-property
1959,21042,443,100544,100567,55708,38445,18622,4172,857,203,121,2011,crime-against-property
1960,14451,143,13470,20238,7338,2968,653,81,12,3,66,2003,crime-against-property
1961,1628,7,1723,3812,2387,1138,291,48,10,1,9,2001,crime-against-property
1962,29769,88,18751,14230,9438,4749,2373,200,23,13,87,2001,crime-against-property
1963,16544,66,6355,24729,19186,13040,5944,1432,284,57,97,2011,crime-against-property
1964,123184,1213,59632,92011,54224,37853,18049,3872,922,217,537,2010,crime-against-property
1965,1267,12,2665,5968,3879,2258,756,126,20,2,20,2003,crime-against-property
1966,143,24,147,92,101,27,13,5,5,1,585,1991,crime-against-property
1967,112532,3120,82566,106761,55298,30558,17136,3348,863,195,873,2013,crime-against-property
1968,11,0,31,206,146,75,19,2,1,2,0,1997,crime-against-property
1969,10,0,11,34,11,14,6,2,0,0,0,1999,crime-against-property
1970,763,2,355,460,372,195,60,16,2,0,0,2003,crime-against-property
1971,129033,1022,61118,78935,37183,21490,9142,1374,289,80,591,2011,crime-against-property
1972,14522,56,4624,13851,8637,4786,1891,301,51,3,76,2012,crime-against-property
1973,77668,243,25678,23559,9562,5091,2320,375,48,15,468,2011,crime-against-property
1974,0,0,0,0,0,0,0,0,0,0,0,2001,crime-against-property
1975,45,1,25,187,193,127,79,29,5,0,4,2005,crime-against-property
1976,13517,905,70989,42022,30758,20472,6359,1547,535,148,113,2002,crime-against-property
1977,8290,40,2465,1358,676,273,126,15,2,0,88,1998,crime-against-property
1978,20307,36,4720,15607,11961,5559,2849,509,76,14,49,2017,crime-against-property
1979,10790,28,7205,22152,15926,7735,1904,322,92,20,92,2002,crime-against-property
1980,2409,443,3538,1048,720,575,217,55,9,5,9,2001,crime-against-property
1981,26637,162,31563,40138,11084,5293,1656,153,20,9,254,2009,crime-against-property
1982,142861,3988,109171,113038,51112,31777,14027,2744,701,217,798,2010,crime-against-property
1983,1348,15,785,900,542,328,107,26,6,2,7,2006,crime-against-property
1984,2832,21,11799,21696,16618,7171,3053,560,95,9,14,2017,crime-against-property
1985,16533,118,8279,26141,20057,14085,5419,1364,222,42,148,2008,crime-against-property
1986,960,7,2388,6840,4498,3105,1244,250,47,5,5,2009,crime-against-property
1987,346,0,60,180,133,114,51,3,2,0,1,2002,crime-against-property
1988,1624,29,10939,17913,9791,5328,2048,386,61,8,8,2012,crime-against-property
1989,27109,264,29760,38425,12243,5973,1324,145,25,13,116,2006,crime-against-property
1990,35250,39,5163,5282,2051,2250,654,126,14,15,66,2005,crime-against-property
1991,29,0,13,25,19,13,4,0,0,0,55,1991,crime-against-property
1992,15,0,29,251,185,64,18,8,1,0,0,1998,crime-against-property
1993,1022,14,865,959,629,395,187,31,3,1,9,2009,crime-against-property
1994,112165,1019,67807,64733,30598,20589,7117,972,221,39,778,2008,crime-against-property
1995,16671,9,1566,1526,1045,278,66,33,13,1,6060,1991,crime-against-property
1996,77190,255,26511,19677,8212,6891,2119,185,36,21,497,2008,crime-against-property
1997,6433,32,2192,1450,622,219,133,20,3,0,52,1997,crime-against-property
1998,119614,1033,53253,99662,65942,41138,22930,5010,1137,255,748,2013,crime-against-property
1999,3745,94,5535,4394,2866,983,241,70,23,8,101,1995,crime-against-property
2000,1411,17,3784,8096,4770,3110,1074,199,16,2,10,2006,crime-against-property
2001,83957,348,27634,23742,9400,7363,2675,219,46,15,465,2009,crime-against-property
2002,11793,76,2601,11368,8690,4991,2652,492,94,15,114,2014,crime-against-property
2003,18048,91,7603,25023,19824,13981,4640,1055,264,61,205,2006,crime-against-property
2004,32057,128,14106,22139,15269,7515,3428,532,100,17,121,2014,crime-against-property
2005,1054,22,6494,4608,2699,1419,283,66,12,2,34,2000,crime-against-property
2006,1122,17,766,1015,542,378,175,31,5,2,13,2008,crime-against-property
2007,35758,717,74458,128296,98035,51185,29669,7428,1280,227,168,2016,crime-against-property
2008,4532,660,25296,13736,11035,4405,1284,625,327,103,80,1994,crime-against-property
2009,1606,37,11568,12287,6812,4539,1333,223,42,7,17,2007,crime-against-property
2010,120571,1164,67402,73524,32426,21063,8453,1078,198,36,877,2009,crime-against-property
2011,14289,1308,24293,12163,6752,2411,586,171,74,16,282,1995,crime-against-property
2012,617,19,3110,1697,936,333,75,18,6,1,6,1996,crime-against-property
2013,15892,73,7518,24398,19210,13364,5561,1343,249,65,97,2009,crime-against-property
2014,1215,6,3645,8418,4855,3349,1205,276,25,3,2,2008,crime-against-property
2015,40,0,46,112,35,11,4,2,3,0,239,1992,crime-against-property
2016,2436,265,2562,1596,1235,693,559,144,34,5,12,2015,crime-against-property
2017,78244,325,21615,19420,7754,5970,2302,900,170,53,560,2006,crime-against-property
2018,33456,303,26445,37861,20095,13199,5662,1068,211,59,211,2010,crime-against-property
2019,3291,5,2877,1866,1202,313,98,27,14,3,10961,1992,crime-against-property
2020,108739,1140,61218,59241,30336,20640,6720,1548,305,53,721,2006,crime-against-property
2021,1259,8,582,497,245,129,57,15,1,0,6,1999,crime-against-property
2022,50,0,87,70,80,36,11,5,1,1,0,1999,crime-against-property
2023,20,0,0,4,7,8,2,1,0,0,0,2014,crime-against-property
2024,27933,176,34157,39809,11472,5610,1497,147,25,14,233,2008,crime-against-property
2025,2287,249,2855,1602,1130,713,564,128,26,11,9,2014,crime-against-property
2026,31659,308,23691,43733,26092,14361,7918,1533,301,68,375,2013,crime-against-property
2027,64226,180,19340,13330,6202,4018,1433,1315,89,4,405,2003,crime-against-property
2028,13878,455,17142,16630,11410,4082,1127,334,101,14,150,1995,crime-against-property
2029,361,1,809,1084,650,208,84,10,4,0,8,1996,crime-against-property
2030,78998,817,45031,39243,21842,12836,3352,1538,219,23,389,2003,crime-against-property
2031,986,18,734,1069,559,377,198,33,3,2,17,2011,crime-against-property
2032,1187,1,51,379,342,164,80,10,2,0,0,2015,crime-against-property
2033,910,1,2079,7242,4413,2913,1313,289,53,3,1,2011,crime-against-property
2034,3119,8,2350,4022,2602,990,292,62,5,1,33,2000,crime-against-property
2035,228,52,322,124,118,56,13,7,1,0,993,1992,crime-against-property
2036,17722,78,2463,11479,9294,4961,2916,525,78,14,113,2015,crime-against-property
2037,14199,99,4830,23601,20183,9647,4986,1243,252,59,67,2016,crime-against-property
2038,1647,10,1925,3266,2247,622,102,30,5,0,35,1994,crime-against-property
2039,11511,57,5790,17045,14447,8828,2830,823,147,22,108,2003,crime-against-property
2040,38251,127,16027,24667,17457,8175,3878,541,109,15,137,2015,crime-against-property
2041,568,7,377,369,237,112,32,8,7,3,3,1999,crime-against-property
2042,12821,50,4985,11461,7032,4414,1238,181,31,7,86,2007,crime-against-property
2043,3225,6,116,443,520,301,226,57,14,1,12,2016,crime-against-property
2044,18,0,17,22,19,12,0,0,0,0,0,1994,crime-against-property
2045,26204,135,26921,37792,11153,4958,1643,218,22,8,127,2011,crime-against-property
2046,24923,1656,29333,13415,7612,2782,4045,226,82,29,287,1996,crime-against-property
2047,206,3,439,766,455,212,52,9,2,1,10,1997,crime-against-property
2048,1253,318,2234,563,466,296,138,30,10,1,23,1998,crime-against-property
2049,8316,29,10617,6488,4319,1439,442,43,10,2,115,1997,crime-against-property
2050,6431,813,51589,23302,18167,10993,3441,1020,495,107,105,1999,crime-against-property
2051,160,0,35,80,87,30,20,6,1,0,1,2016,crime-against-property
2052,5547,36,2345,7771,5526,3429,1006,209,30,7,33,2005,crime-against-property
2053,5506,3,853,530,269,52,11,4,1,0,7626,1991,crime-against-property
2054,35047,239,17201,33118,27435,13701,8825,1972,380,97,172,2017,crime-against-property
2055,34098,324,25664,43643,24775,15145,7305,1382,272,54,291,2012,crime-against-property
2056,50743,224,22681,24222,15242,9362,2202,486,72,24,254,2005,crime-against-property
2057,15,0,21,39,22,30,8,2,0,0,0,2002,crime-against-property
2058,943,10,216,360,414,343,87,29,6,1,3,2016,crime-against-property
2059,483,2,362,241,108,36,9,3,1,0,0,1994,crime-against-property
2060,782,1,244,618,366,258,159,55,6,0,2,2016,crime-against-property
2061,38,0,39,28,30,19,5,1,0,0,0,1994,crime-against-property
2062,1,0,0,1,0,1,0,0,0,0,0,2005,crime-against-property
2063,18,0,6,60,93,50,15,15,0,0,0,2001,crime-against-property
2064,109943,4028,74884,46416,25609,14810,6118,2768,375,73,418,2000,crime-against-property
2065,162125,4678,132388,104104,47200,33801,11222,2148,624,169,1213,2007,crime-against-property
2066,285,13,2331,1264,758,236,48,15,2,0,3,1995,crime-against-property
2067,865,228,1730,477,361,207,98,13,4,2,21,1997,crime-against-property
2068,61185,245,19000,15584,6983,5015,1431,1068,21,26,828,2004,crime-against-property
2069,135,0,39,49,32,16,2,0,0,0,2,1993,crime-against-property
2070,12161,61,12497,8292,5753,1993,576,72,17,5,202,1998,crime-against-property
2071,3,0,0,9,8,3,0,0,0,0,5,1991,crime-against-property
2072,317,4,596,1085,696,312,65,10,4,0,2,1998,crime-against-property
2073,275,2,539,735,446,129,34,6,1,0,18,1995,crime-against-property
2074,22413,474,21708,20163,14055,5287,2223,495,162,34,201,1996,crime-against-property
2075,3179,301,4426,1473,1077,828,297,93,22,3,23,2005,crime-against-property
