,Year,Females,Males,Unknown_Sex,Offense,unknown_age,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99
3616,2005,26343,152011,83648,all-offenses,97646,937,54293,53088,29263,18922,5274,1668,180,69,662
3617,2006,769,27060,520,all-offenses,3535,129,6704,8492,4787,3070,1161,344,69,18,40
3618,2004,33354,119082,4308,all-offenses,14984,568,34177,48528,28920,20317,6723,1717,524,129,157
3619,1995,3230,12661,21,all-offenses,87,1,5548,5234,3779,1113,128,19,3,0,0
3620,2005,10,85,0,all-offenses,0,0,9,30,32,10,11,3,0,0,0
3621,1999,14207,33223,18464,all-offenses,23506,250,14915,12373,8521,4394,1469,241,73,18,134
3622,2005,29624,47644,9665,all-offenses,17397,86,6995,23756,19885,13017,4274,1081,194,87,161
3623,1996,14,53,0,all-offenses,0,0,17,22,14,6,5,0,2,1,0
3624,1992,12331,12350,1464,all-offenses,1868,10,2525,6221,4147,1192,214,63,9,0,9896
3625,2006,98,1144,5,all-offenses,42,23,397,183,259,197,94,38,7,3,4
3626,2012,182511,193756,8715,all-offenses,26070,464,98122,118027,68432,44584,22838,5036,971,232,206
3627,1997,2,35,0,all-offenses,7,0,1,12,11,5,1,0,0,0,0
3628,1999,116,1484,38,all-offenses,158,53,440,325,327,173,112,35,8,2,5
3629,2009,899,28001,628,all-offenses,3626,135,7010,8567,4993,3243,1443,376,89,14,32
3630,1997,5457,9875,1033,all-offenses,2066,22,2167,4902,4340,2007,552,148,51,3,107
3631,2017,183926,232975,11409,all-offenses,45797,494,72154,121477,99121,49854,30118,7582,1296,240,177
3632,2002,6662,8993,3581,all-offenses,5154,22,2555,5392,3694,1766,477,108,13,3,52
3633,2010,371,893,64,all-offenses,191,0,158,365,256,229,93,25,5,5,1
3634,2010,401,1866,1328,all-offenses,1608,2,411,701,426,315,101,22,3,1,5
3635,2006,506,911,704,all-offenses,1102,3,93,294,290,199,107,22,5,0,6
3636,2003,78764,114353,4038,all-offenses,14158,808,72779,44651,32029,23065,7190,1688,540,148,99
3637,2015,347,2905,115,all-offenses,324,74,838,746,584,373,251,118,41,10,8
3638,2007,438,267,17,all-offenses,33,0,35,196,216,162,60,16,2,2,0
3639,2013,6,5,25,all-offenses,26,0,1,1,2,3,2,1,0,0,0
3640,2015,41328,74339,23147,all-offenses,31233,202,18680,37706,26493,13871,8343,1773,322,60,131
3641,2010,45447,150251,6402,all-offenses,19367,539,36847,66931,36911,25359,11928,3059,813,198,148
3642,2000,173,59,10,all-offenses,21,0,15,69,80,42,9,5,0,0,1
3643,2001,42171,176621,111357,all-offenses,122336,4290,85439,56622,30276,17503,9610,3215,328,134,396
3644,2002,563,1231,433,all-offenses,713,7,358,495,367,200,69,15,3,0,0
3645,2016,130,335,9,all-offenses,23,0,17,98,87,86,87,51,23,2,0
3646,1994,45,152,6,all-offenses,9,0,18,40,35,48,37,16,0,0,0
3647,2010,2346,1503,14,all-offenses,33,0,154,1237,1074,916,307,105,30,7,0
3648,2011,57,146,4,all-offenses,7,0,36,80,42,28,9,5,0,0,0
3649,2010,1373,7021,2602,all-offenses,3051,307,3719,1688,939,723,418,104,24,8,15
3650,1993,1128,4898,54,all-offenses,95,0,1695,2149,1557,477,75,17,3,0,12
3651,2006,36269,46607,7747,all-offenses,13907,84,7942,29814,20939,13116,3766,720,157,43,135
3652,2002,8588,8690,462,all-offenses,1238,13,3277,6221,4057,2110,683,102,18,3,18
3653,2013,11123,79371,2775,all-offenses,5406,285,19736,35601,16504,8566,5043,1624,413,68,23
3654,1991,31404,21668,29570,all-offenses,35720,98,4499,8399,5959,1426,501,195,50,10,25785
3655,2009,578,1004,826,all-offenses,1350,9,89,300,291,231,106,18,3,3,8
3656,2002,1404,8431,240,all-offenses,1165,8,1348,3733,2256,1186,278,68,16,6,11
3657,1995,34,770,2,all-offenses,13,4,355,325,71,27,8,1,2,0,0
3658,2015,236812,523087,8272,all-offenses,28677,2699,130422,239267,174301,106362,63880,16929,4126,1197,311
3659,2013,112,384,19,all-offenses,27,0,50,73,76,95,98,75,20,1,0
3660,2004,177,566,45,all-offenses,143,1,125,167,152,122,45,28,2,1,2
3661,2004,338,2279,2273,all-offenses,2499,7,757,682,497,307,59,38,2,0,42
3662,1995,333,4689,62,all-offenses,314,160,1379,978,1139,594,315,142,50,9,4
3663,2013,12746,16975,7768,all-offenses,9606,43,2569,10095,7922,4553,2071,398,79,16,137
3664,2009,30064,41959,6766,all-offenses,11852,64,6285,26367,17939,11065,4116,842,168,44,47
3665,2015,5036,3758,41,all-offenses,73,1,444,3187,2361,1512,898,290,54,12,3
3666,2013,13570,49553,24887,all-offenses,28630,119,12730,21149,14158,7289,3150,495,89,13,188
3667,1996,221,52,0,all-offenses,12,0,10,103,92,42,10,4,0,0,0
3668,2002,4176,51579,3011,all-offenses,14298,111,13706,19743,7287,2606,841,86,12,5,71
3669,2013,0,38,0,all-offenses,0,0,21,4,4,3,3,3,0,0,0
3670,2010,79,531,15,all-offenses,47,0,115,101,88,118,96,50,8,1,1
3671,2017,1090,35177,1288,all-offenses,4760,215,8621,9554,6697,3945,2618,817,180,47,101
3672,2001,50478,132073,74361,all-offenses,94821,1049,46219,48517,33989,19846,10136,1515,417,116,287
3673,1992,35,273,3,all-offenses,13,6,64,72,84,43,12,16,1,0,0
3674,2016,35732,157978,85794,all-offenses,99459,1131,38197,63733,43723,19130,11322,1837,283,78,614
3675,1994,4402,32872,25654,all-offenses,27988,370,14651,10989,6608,1785,350,78,17,6,86
3676,2000,753,8360,17378,all-offenses,17645,29,3461,2472,1129,1272,405,45,5,0,28
3677,2009,166794,177700,5089,all-offenses,20306,497,120603,99251,50567,37430,16381,3407,779,202,160
