,Year,Females,Males,Unknown_Sex,Offense,unknown_age,range_0_9,range_10_19,range_20_29,range_30_39,range_40_49,range_50_59,range_60_69,range_70_79,range_80_89,range_90_99
4094,1996,36734,125274,1322,all-offenses,5308,958,40290,50653,41648,17710,4790,1379,394,84,116
4095,2003,255,4290,65,all-offenses,332,235,1733,812,752,465,179,73,20,6,3
4096,2000,175,2123,45,all-offenses,211,77,628,540,436,281,100,53,12,0,5
4097,2007,33864,69422,24985,all-offenses,35088,286,26655,30747,17640,12316,4393,736,195,51,164
4098,2000,2534,1924,9,all-offenses,39,0,215,1221,1704,917,254,75,28,3,11
4099,2007,213378,546156,8481,all-offenses,36819,3273,178830,237454,151295,110054,38383,8537,2306,606,458
4100,1993,36,102,11,all-offenses,15,3,6,22,33,27,29,11,3,0,0
4101,1996,5621,15552,4426,all-offenses,6548,115,7502,5562,3734,1369,548,86,32,9,94
4102,2013,16417,22415,10836,all-offenses,13617,46,4298,14348,9615,5044,2215,323,65,6,91
4103,1999,15,81,3,all-offenses,5,0,14,35,28,10,5,2,0,0,0
4104,2010,8411,31596,992,all-offenses,1464,26,11399,14291,7403,4470,1554,315,52,11,14
4105,2016,98269,229064,1349,all-offenses,1695,37,60692,127544,80568,36031,18205,3570,269,44,27
4106,1994,2043,8508,30,all-offenses,97,0,3472,3683,2510,706,84,22,1,1,5
4107,2008,98396,384553,3162,all-offenses,6509,108,126394,192184,82891,54433,20247,2946,292,48,59
4108,1998,89,1485,4,all-offenses,43,5,711,600,150,40,21,3,1,1,3
4109,2017,84302,253626,118340,all-offenses,134543,2824,80791,107631,69800,32984,20731,4928,1108,220,708
4110,1991,4,49,5,all-offenses,9,1,10,14,15,5,3,1,0,0,0
4111,1996,63,691,13,all-offenses,37,26,203,178,174,79,38,22,8,2,0
4112,2000,116656,335811,6398,all-offenses,25302,2673,104040,136127,109423,59188,15906,4094,1181,304,627
4113,2007,7637,3764,16,all-offenses,65,0,624,3351,3486,2817,829,183,52,10,0
4114,2014,1360,8360,15743,all-offenses,16833,43,1246,3119,2152,1152,712,125,32,8,41
4115,2010,431,3451,247,all-offenses,540,1,688,1474,690,401,229,71,24,7,4
4116,1998,665,9905,230,all-offenses,801,391,3243,1891,2173,1210,645,281,113,27,25
4117,2012,78907,261633,113517,all-offenses,130742,3617,95812,114441,55786,32252,16131,3471,812,223,770
4118,2005,65420,253937,134798,all-offenses,152049,4261,117607,91730,43189,30150,9728,3290,707,333,1111
4119,2008,308,866,121,all-offenses,200,6,216,319,231,200,93,21,4,4,1
4120,2008,299,1852,1532,all-offenses,1718,17,543,582,385,300,102,23,10,2,1
4121,2011,958,3113,517,all-offenses,1043,9,1038,1407,583,340,131,22,5,0,10
4122,1996,1089,11389,238,all-offenses,491,70,4899,3328,2084,1160,454,165,48,9,8
4123,1996,38,106,1,all-offenses,4,0,9,36,24,43,16,11,2,0,0
4124,1998,28745,84628,41071,all-offenses,53497,870,32642,29936,22452,9371,3559,745,238,40,1094
4125,1993,33,40,17,all-offenses,30,0,15,23,12,7,3,0,0,0,0
4126,1992,109,752,94,all-offenses,135,0,186,311,165,96,34,20,7,1,0
4127,1999,2057,25379,1346,all-offenses,5953,71,7487,9588,3985,1274,332,20,10,1,61
4128,2006,45274,129983,532,all-offenses,1150,43,41742,60867,34046,28967,8113,749,85,16,11
4129,1999,5238,4970,531,all-offenses,983,11,2650,3650,2099,971,302,45,7,1,20
4130,1997,15007,73858,43979,all-offenses,48433,2207,40111,20963,11606,4643,3795,377,104,49,556
4131,2007,0,0,1,all-offenses,1,0,0,0,0,0,0,0,0,0,0
4132,1992,1249,993,151,all-offenses,195,1,554,320,158,51,9,4,4,1,1096
4133,1993,3100,4641,1032,all-offenses,1682,2,1536,3044,1747,564,120,20,3,0,55
4134,1996,173,379,16,all-offenses,73,1,106,209,106,51,17,4,1,0,0
4135,2013,640,471,31,all-offenses,44,0,32,323,357,224,116,34,11,0,1
4136,2014,58257,148225,4990,all-offenses,15943,571,29920,56466,47255,32797,20682,5869,1546,316,107
4137,1999,698,4361,131,all-offenses,650,10,704,1821,1268,538,150,39,3,3,4
4138,1995,9,162,1,all-offenses,3,4,48,33,40,30,8,5,1,0,0
4139,1996,2983,15740,3309,all-offenses,4627,26,8244,4738,2969,963,350,52,15,3,45
4140,2003,24,108,3,all-offenses,8,0,9,48,32,22,10,4,2,0,0
4141,2007,1,4,0,all-offenses,0,0,0,0,2,3,0,0,0,0,0
4142,1999,265,634,328,all-offenses,447,2,233,222,202,85,23,4,1,0,8
4143,2000,61,247,3,all-offenses,5,2,35,77,56,61,51,16,7,1,0
4144,2007,14715,61963,31342,all-offenses,37295,197,20394,23294,14292,9451,2423,364,68,14,228
4145,2000,3668,34026,1126,all-offenses,2139,169,13220,12056,5682,3568,1342,420,143,25,56
4146,1995,77,4098,15,all-offenses,299,20,1017,1350,937,401,110,35,9,2,10
4147,2007,11731,16176,6437,all-offenses,9040,43,2870,9394,6840,4352,1440,255,45,7,58
4148,2010,1716,12999,30723,all-offenses,32547,69,3274,5023,2264,1478,587,107,15,8,66
4149,2014,574,3544,310,all-offenses,516,4,656,1677,745,416,280,94,24,14,2
4150,2007,114,448,3,all-offenses,11,0,67,94,85,109,107,68,21,3,0
4151,2000,8167,39808,23443,all-offenses,26803,64,17654,12790,8519,4030,1253,169,42,4,90
4152,2014,11715,36777,1111,all-offenses,1583,18,10053,18438,11359,5371,2250,447,60,13,11
4153,2000,0,2,0,all-offenses,0,0,0,0,0,2,0,0,0,0,0
4154,2009,45973,138399,618,all-offenses,1182,29,49359,68570,32197,23291,9123,1124,99,11,5
4155,2015,16703,23506,13205,all-offenses,16429,32,3843,14954,10319,5015,2366,350,43,15,48
4156,2000,1947,3953,439,all-offenses,881,6,1060,2149,1453,626,124,28,5,1,6
4157,1992,1912,7149,219,all-offenses,784,18,1817,2808,2254,1029,383,152,25,6,4
4158,2007,8941,74362,1967,all-offenses,4043,282,27928,29835,11300,7496,3224,871,223,47,21
4159,1997,23488,70785,28783,all-offenses,38028,622,28246,26256,18297,7367,2698,643,170,62,667
4160,2008,899,3365,632,all-offenses,1288,7,1145,1338,604,361,122,20,2,0,9
4161,2016,559,8406,158,all-offenses,631,278,2983,1823,1495,943,630,247,68,12,13
4162,1999,72,478,33,all-offenses,80,3,138,106,116,79,38,10,6,3,4
4163,1994,30,797,8,all-offenses,41,32,280,213,161,83,21,3,1,0,0
4164,2013,1534,9247,16738,all-offenses,17945,39,1506,3574,2313,1264,668,107,18,3,82
4165,2006,160,252,16,all-offenses,24,1,24,108,123,115,24,8,0,1,0
4166,2017,436,4115,61,all-offenses,164,30,1980,1476,508,263,120,46,17,5,3
4167,2011,310,944,53,all-offenses,191,0,164,366,265,170,109,32,8,2,0
4168,2011,450,1856,1726,all-offenses,1973,13,435,628,462,356,129,21,6,2,7
4169,2012,460,5476,102,all-offenses,225,39,2554,2018,638,308,155,40,10,3,48
4170,2015,559,4021,398,all-offenses,659,3,686,1870,881,436,299,83,42,14,5
4171,1996,370,2181,325,all-offenses,455,202,1332,331,288,168,72,20,5,1,2
4172,2005,77971,187574,97709,all-offenses,126373,1201,56212,76236,49835,35870,11888,3521,795,296,1027
4173,2012,2490,30042,631,all-offenses,2002,1072,9213,6179,5440,4309,2784,1278,526,176,184
4174,2015,11911,38633,1203,all-offenses,1761,34,10582,18536,12353,5547,2393,462,67,4,8
4175,1996,12373,45860,1199,all-offenses,3494,330,15409,17958,13092,6182,2027,658,195,39,48
4176,1998,21592,98606,64236,all-offenses,72111,3119,52047,27575,16465,6555,4819,402,188,49,1104
4177,2017,2892,32818,846,all-offenses,2459,1126,10551,6182,6171,4319,3117,1608,644,219,160
4178,1996,214,855,0,all-offenses,1,0,41,328,428,189,55,16,6,1,4
4179,2014,16810,23105,11155,all-offenses,14261,35,4121,14689,10204,4899,2338,399,56,19,49
4180,2007,44158,154562,5905,all-offenses,20358,677,43359,65424,35817,25733,9858,2389,660,181,169
4181,2007,3014,1526,7,all-offenses,49,0,187,1230,1561,1099,310,84,20,7,0
4182,2002,53055,224449,1794,all-offenses,4357,64,79377,104962,51534,31013,6816,930,130,22,93
4183,2007,1426,8292,3108,all-offenses,3383,506,4696,1719,1011,911,424,111,28,6,31
4184,2009,87,336,6,all-offenses,12,0,46,147,95,88,28,8,3,2,0
4185,2004,37,129,2,all-offenses,5,2,23,65,22,29,11,3,5,1,2
4186,1993,20994,36516,3387,all-offenses,5971,648,22806,13966,10568,4146,1360,740,402,90,200
4187,2003,28988,90891,405,all-offenses,908,19,31391,40895,25298,17834,3552,321,48,6,12
4188,2000,735,896,6,all-offenses,14,0,94,450,598,331,88,40,12,2,8
4189,2000,25981,94485,3667,all-offenses,12094,589,27812,37109,25315,14575,4607,1328,420,89,195
4190,2010,618,336,28,all-offenses,42,0,32,297,316,187,84,21,3,0,0
4191,2015,60435,153368,5313,all-offenses,16557,583,29901,59567,49840,32656,21652,6350,1555,350,105
4192,2000,905,5257,1817,all-offenses,2071,380,3085,976,680,498,187,67,15,1,19
4193,1992,841,372,201,all-offenses,249,0,147,236,133,19,10,2,0,0,618
4194,1998,69068,207732,4313,all-offenses,13544,1917,65843,83042,70432,33666,8956,2286,727,188,512
4195,2000,1084,16041,361,all-offenses,1457,592,5484,3014,3234,2012,1007,430,171,36,49
4196,1999,62,209,2,all-offenses,11,0,12,54,35,52,77,24,8,0,0
4197,2004,90680,124228,4018,all-offenses,15051,696,78444,50362,35623,26876,8865,2050,620,167,172
4198,1993,3,18,1,all-offenses,1,1,6,10,4,0,0,0,0,0,0
4199,2011,53592,155914,818,all-offenses,1342,23,57081,78973,36821,23834,10597,1525,113,12,3
4200,2007,405,5270,58,all-offenses,290,35,2448,2017,536,252,92,40,12,1,10
4201,2014,0,3,0,all-offenses,0,0,0,2,1,0,0,0,0,0,0
4202,1998,1448,1780,7,all-offenses,27,0,168,927,1280,591,151,55,15,4,17
4203,2013,963,27609,742,all-offenses,3381,123,6589,8042,5260,3349,1844,491,135,37,63
4204,2007,1925,26415,518,all-offenses,2186,855,8360,5289,4794,3858,2093,920,349,109,45
4205,2001,32024,88645,7451,all-offenses,19220,543,24342,30312,27513,17372,6159,1838,495,122,204
4206,2006,847,3386,732,all-offenses,1492,11,1157,1275,580,313,103,20,4,2,8
4207,2008,61,247,8,all-offenses,10,0,33,112,76,51,19,12,3,0,0
4208,2000,152,2404,16,all-offenses,96,7,1009,1072,255,74,34,12,4,1,8
4209,2017,1537,6558,2141,all-offenses,2472,223,2577,1753,1477,859,615,197,42,8,13
4210,2012,1684,1436,21,all-offenses,51,2,194,1060,804,596,311,99,21,2,1
4211,1995,70,27,0,all-offenses,9,0,3,28,39,14,3,0,1,0,0
4212,2013,93,993,16,all-offenses,17,21,333,166,212,187,94,48,14,3,7
4213,2012,44210,150079,6381,all-offenses,18524,475,31143,66626,39217,25926,14078,3536,808,194,143
4214,1998,105,1317,27,all-offenses,111,46,362,300,312,170,90,29,20,4,5
4215,2017,50218,165114,9710,all-offenses,22446,431,29183,69810,51290,27585,17379,5325,1185,249,159
4216,2001,256,1843,143,all-offenses,222,0,427,860,349,223,99,36,11,10,5
4217,1996,382,5643,90,all-offenses,364,230,1772,1162,1222,725,348,188,78,16,10
4218,2012,1516,7142,2560,all-offenses,2980,311,3509,1790,1071,826,556,130,37,3,5
4219,2017,1640,1817,27,all-offenses,96,0,180,1235,978,538,300,120,29,8,0
4220,2009,1054,3476,616,all-offenses,1185,8,1384,1439,621,320,145,21,3,3,17
4221,2001,3735,16435,969,all-offenses,1437,31,7872,6151,3393,1726,402,91,14,2,20
4222,1996,64,991,6,all-offenses,23,4,506,394,89,32,9,2,1,0,1
4223,2003,269,2227,2305,all-offenses,2523,7,769,683,417,280,61,30,3,0,28
4224,2003,132,447,27,all-offenses,97,4,103,131,120,99,38,11,2,0,1
4225,1998,11674,28352,14633,all-offenses,18447,215,13330,10562,7354,3189,1162,180,56,8,156
4226,1991,703,348,377,all-offenses,404,0,95,247,139,21,6,1,1,0,514
4227,1999,104,492,14,all-offenses,13,0,89,131,130,139,75,26,7,0,0
4228,1999,3233,28064,39196,all-offenses,40945,158,14293,7586,3545,2066,1691,54,18,7,130
4229,2008,44652,132607,613,all-offenses,1148,34,46443,63949,30662,25398,9066,1081,70,12,9
4230,2010,119,1252,1,all-offenses,36,28,422,247,268,199,108,45,15,2,2
4231,1997,51093,163787,1998,all-offenses,7643,1337,52230,65243,55591,25502,6653,1750,516,137,276
4232,1991,104,681,338,all-offenses,369,0,162,270,192,91,21,11,4,3,0
4233,2005,6092,3773,10,all-offenses,58,2,481,2767,3249,2427,662,170,55,3,1
4234,2016,181241,506451,4720,all-offenses,6795,93,126190,271946,164614,74447,38796,8557,838,68,68
4235,1994,8425,46414,540,all-offenses,1438,11,14591,21338,13183,3938,669,132,23,7,49
4236,1991,795,1034,111,all-offenses,136,0,474,364,220,78,23,9,4,1,631
4237,2012,9,4,10,all-offenses,13,0,0,2,3,4,0,1,0,0,0
4238,2017,5863,7451,7685,all-offenses,8843,14,698,4124,3876,1880,1246,231,50,9,28
4239,2006,302,791,31,all-offenses,131,3,197,252,234,184,83,27,8,5,0
4240,2005,186410,498610,8118,all-offenses,33308,3108,164365,209198,141677,100438,30778,7152,2097,565,452
4241,2006,275,2330,2089,all-offenses,2362,10,608,746,499,315,111,25,4,0,14
4242,2001,6170,8279,3185,all-offenses,4655,21,2556,5079,3163,1600,422,90,11,3,34
4243,1999,11087,67502,40691,all-offenses,45804,752,29908,20684,12631,5973,2927,214,53,14,320
4244,1997,1142,1547,2,all-offenses,11,1,112,757,1100,501,150,45,11,2,1
4245,2011,112,264,1,all-offenses,12,0,44,146,77,55,29,13,1,0,0
4246,2012,12755,49491,27424,all-offenses,31303,130,13333,20181,13220,7704,3073,447,82,20,177
4247,1997,61,1028,22,all-offenses,98,36,295,234,222,126,64,26,9,1,0
4248,1999,5,25,0,all-offenses,1,0,3,10,9,4,1,2,0,0,0
4249,2017,11406,16840,9367,all-offenses,11139,26,2152,9461,8248,3975,2045,421,62,4,80
4250,2012,2,11,0,all-offenses,0,0,8,2,0,1,1,0,1,0,0
4251,2002,291,4168,68,all-offenses,300,219,1704,803,799,455,163,58,16,2,8
4252,2005,30592,62635,26154,all-offenses,35091,283,23286,27407,17038,11530,3439,795,140,52,320
4253,1999,8288,15409,1859,all-offenses,4041,34,3103,7306,6162,3519,1040,200,65,9,77
4254,2012,12616,16989,8187,all-offenses,10096,54,2587,10157,7626,4760,1958,410,55,7,82
4255,2017,5,13,0,all-offenses,0,0,0,3,1,4,2,8,0,0,0
4256,2004,368,686,393,all-offenses,615,3,98,276,210,166,56,14,2,1,6
4257,2017,24441,76353,47088,all-offenses,53877,124,20576,31301,25056,10641,5159,775,142,34,197
4258,2009,294,1813,1428,all-offenses,1628,8,504,634,366,257,104,25,2,1,6
4259,2005,237,2898,67,all-offenses,291,85,892,767,556,344,159,72,30,3,3
4260,2009,304,886,96,all-offenses,217,3,170,307,246,204,99,27,7,3,3
4261,2004,33924,44706,9394,all-offenses,15471,68,8270,27793,20950,11725,2861,580,112,31,163
4262,2015,17,45,6,all-offenses,15,0,4,13,11,7,9,5,3,1,0
4263,2017,16991,106884,6252,all-offenses,9455,221,23993,47890,27112,11896,6647,2272,528,83,30
4264,2012,128,455,21,all-offenses,34,0,72,93,95,118,108,64,16,3,1
4265,1997,9159,22334,9270,all-offenses,11994,150,10797,8708,5747,2288,767,150,38,11,113
4266,2003,596,2095,432,all-offenses,913,5,676,805,433,228,43,7,3,2,8
4267,2010,805,28436,655,all-offenses,3652,136,6900,8519,5139,3435,1553,411,104,20,27
4268,1995,265,4115,2017,all-offenses,2325,21,2330,1044,454,152,30,6,5,0,30
4269,2012,10229,76947,2416,all-offenses,4297,319,21043,33710,15196,8392,4686,1533,332,66,18
4270,2017,43,141,14,all-offenses,17,0,9,41,37,50,23,12,9,0,0
4271,1991,1144,4268,125,all-offenses,497,6,887,1742,1368,661,237,116,16,3,4
4272,1998,25920,120384,792,all-offenses,2379,63,44921,51249,31143,14201,2525,376,81,13,145
4273,2001,9619,9941,626,all-offenses,1561,24,4447,6721,4370,2188,708,121,20,5,21
4274,2008,439,5336,58,all-offenses,299,30,2562,1925,578,304,91,30,7,3,4
4275,2000,28,91,8,all-offenses,13,0,24,29,32,16,7,2,4,0,0
4276,2003,72,373,15,all-offenses,18,0,74,94,78,101,66,21,7,1,0
4277,2017,1012,2736,700,all-offenses,1265,5,818,1060,704,305,235,30,13,1,12
4278,1993,512,4886,7859,all-offenses,8340,24,2692,1232,514,134,35,14,0,2,270
4279,2004,79,1032,10,all-offenses,35,21,349,165,261,180,68,34,6,2,0
4280,2003,5729,47307,1498,all-offenses,3046,235,17822,17886,7533,5266,1934,556,176,43,37
4281,2012,998,3191,515,all-offenses,1002,7,1047,1481,648,297,178,20,6,0,18
4282,2001,1182,7324,177,all-offenses,933,4,1171,3139,2085,991,264,59,21,6,10
4283,2014,137,490,16,all-offenses,23,0,33,111,107,140,127,74,25,2,1
4284,2015,32902,56823,13359,all-offenses,24357,77,5770,27366,22521,13223,7192,1911,435,91,141
4285,2003,10339,47715,27239,all-offenses,31616,48,18334,16462,10654,6070,1467,371,84,5,182
4286,2015,25,230,0,all-offenses,13,1,10,64,82,64,14,2,2,1,2
4287,2007,139,246,8,all-offenses,14,0,34,115,145,52,22,10,1,0,0
4288,2009,1456,7459,2587,all-offenses,2906,448,3989,1857,1000,779,384,88,28,2,21
4289,2008,1900,25827,539,all-offenses,2002,864,8180,5307,4612,3802,2037,926,382,104,50
4290,2003,5311,9169,1854,all-offenses,2983,35,1963,4994,3651,2000,523,148,14,7,16
4291,2009,2237,1330,15,all-offenses,34,1,135,992,1044,931,311,99,24,10,1
4292,2009,44447,151481,5936,all-offenses,19479,510,39349,66488,36237,25210,10836,2724,720,151,160
4293,2001,3726,49977,2715,all-offenses,14232,72,13053,18749,6837,2381,970,69,5,6,44
4294,2010,615,995,913,all-offenses,1449,13,76,304,307,219,108,29,7,1,10
4295,2015,34188,154790,84703,all-offenses,98016,775,38662,63868,40462,18566,10988,1591,276,54,423
4296,2013,186831,207994,8448,all-offenses,27244,455,91505,127291,77899,46505,25244,5595,1106,226,203
4297,1996,2,21,1,all-offenses,0,0,2,11,7,2,2,0,0,0,0
4298,1992,218,77,2,all-offenses,4,0,11,14,23,35,15,3,0,0,192
4299,2006,2592,1652,7,all-offenses,49,0,172,1129,1431,1063,301,78,24,3,1
4300,2015,11024,58252,69827,all-offenses,76235,267,18662,22534,12408,4916,3426,360,46,8,241
4301,2001,557,1108,437,all-offenses,746,5,298,449,341,171,73,15,3,0,1
4302,2002,45855,188557,116360,all-offenses,127786,4325,90922,62954,31851,19792,9016,3119,360,92,555
4303,1991,16,17,38,all-offenses,38,0,2,6,3,8,2,2,0,0,10
4304,2006,42050,151200,6771,all-offenses,21537,622,43853,62903,34070,24868,9008,2199,661,152,148
4305,2015,5,21,1,all-offenses,3,0,2,10,11,1,0,0,0,0,0
4306,2004,639,22611,397,all-offenses,2967,142,5657,7068,4104,2494,852,256,64,15,28
4307,2015,89,361,10,all-offenses,12,0,83,141,71,71,57,24,1,0,0
4308,2010,28405,39596,6371,all-offenses,11217,64,5346,24971,17485,10236,3930,875,168,34,46
4309,2006,1448,8111,3115,all-offenses,3589,328,4734,1686,1007,835,363,74,30,8,20
4310,2009,8838,72499,2081,all-offenses,4076,279,24142,30155,12119,7390,3746,1166,272,61,12
4311,2007,47445,135645,549,all-offenses,1182,32,45615,64347,33868,28513,9001,975,84,10,12
4312,2017,340,1499,944,all-offenses,1184,8,243,456,460,279,126,21,4,0,2
4313,2017,796,1403,498,all-offenses,987,3,346,568,372,215,146,40,12,2,6
4314,2006,0,1,5,all-offenses,6,0,0,0,0,0,0,0,0,0,0
4315,2010,159093,165111,5772,all-offenses,21612,473,105658,94765,50283,35874,16580,3656,776,191,108
4316,2011,493,5431,107,all-offenses,275,29,2616,2011,601,322,112,45,12,5,3
4317,2012,490,1944,1714,all-offenses,1983,10,505,674,463,314,158,25,6,2,8
4318,2013,737,1351,1092,all-offenses,1844,14,96,395,372,243,158,32,3,1,22
4319,2012,342,842,66,all-offenses,183,1,139,350,217,185,141,28,3,2,1
4320,1997,18059,86852,565,all-offenses,1856,25,34257,36544,22295,8752,1428,220,52,2,45
4321,2009,82,587,10,all-offenses,21,0,97,127,111,119,124,65,12,3,0
4322,2014,33594,160208,86480,all-offenses,99357,809,42169,67081,38585,18858,10933,1650,288,58,494
4323,2016,243761,532895,8502,all-offenses,28167,2797,131399,240533,182810,107687,66130,19085,4623,1464,463
4324,1994,29084,115567,5278,all-offenses,9622,856,35987,48349,36657,13353,3572,1062,290,69,112
4325,2000,17601,61811,279,all-offenses,668,16,24264,25535,17719,9728,1552,167,28,7,7
4326,2014,102,535,10,all-offenses,18,1,102,152,104,88,103,61,16,2,0
4327,1992,1,9,0,all-offenses,0,0,0,3,2,3,2,0,0,0,0
4328,2001,113,826,58,all-offenses,98,1,234,185,209,163,73,23,8,1,2
4329,2014,1,6,0,all-offenses,0,0,0,2,3,2,0,0,0,0,0
4330,1991,134,177,6384,all-offenses,6427,1,39,83,69,11,3,2,0,0,60
4331,2009,11933,16777,8025,all-offenses,10706,44,2772,9678,7023,4442,1665,287,51,9,58
4332,2003,1234,1328,6,all-offenses,22,1,134,721,865,592,165,45,21,1,1
4333,2003,29700,105127,3982,all-offenses,12702,521,30527,43024,26287,17744,5743,1542,464,123,132
4334,1992,8513,2148,68,all-offenses,211,0,332,1027,862,332,151,28,12,1,7773
4335,2014,10101,54670,62052,all-offenses,66283,261,18449,22227,10845,4798,3207,393,59,15,286
4336,2013,25826,37111,6054,all-offenses,9861,72,4371,22890,17108,9275,4212,895,188,42,77
4337,2009,11108,48489,26433,all-offenses,30163,139,15729,18357,11167,7445,2426,337,83,11,173
4338,2016,5059,3640,33,all-offenses,93,0,431,3173,2413,1442,871,225,67,16,1
4339,2005,88335,342534,2942,all-offenses,6762,107,110577,168971,77193,53641,14343,1831,236,57,93
4340,1994,496,211,246,all-offenses,250,0,39,288,300,49,11,10,6,0,0
4341,2011,2229,28014,593,all-offenses,2044,866,8816,5674,5086,4111,2504,1131,464,111,29
4342,1993,100,197,138,all-offenses,194,1,27,93,82,17,14,6,1,0,0
4343,2003,1026,6151,2201,all-offenses,2547,286,3617,1165,790,646,204,95,16,2,10
4344,2009,0,1,0,all-offenses,0,0,0,0,0,1,0,0,0,0,0
4345,2002,52726,135248,75868,all-offenses,95065,1142,47356,50502,35375,21997,9619,1758,473,115,440
4346,1991,700,412,174,all-offenses,206,0,73,311,198,85,18,2,1,0,392
4347,2006,125,597,18,all-offenses,23,0,86,107,129,137,147,100,8,3,0
4348,2016,312,3012,121,all-offenses,313,77,860,730,653,399,246,117,38,8,4
4349,1994,37,415,48,all-offenses,54,19,106,112,118,44,26,16,4,1,0
4350,2006,8763,72949,1912,all-offenses,3761,247,27772,29451,10742,7440,3110,808,216,53,24
4351,1991,63,846,151,all-offenses,247,1,112,400,216,55,21,4,2,0,2
4352,1992,42250,17152,24667,all-offenses,26759,150,6234,5815,3663,907,188,70,14,7,40262
4353,2009,2,1,4,all-offenses,5,0,1,0,0,1,0,0,0,0,0
4354,2014,15,253,1,all-offenses,6,3,11,83,76,65,18,6,1,0,0
4355,1992,54,53,0,all-offenses,4,0,9,21,16,14,5,0,0,0,38
4356,2006,15447,66820,46136,all-offenses,52382,287,22723,24699,15259,9585,2569,451,144,64,240
4357,2016,41768,74031,24097,all-offenses,31923,346,17561,36778,28223,13904,8676,1872,356,83,174
4358,1994,3160,7960,1163,all-offenses,2008,94,3697,3571,2060,605,161,35,5,1,46
4359,1992,15318,6663,14196,all-offenses,15092,31,3001,1906,1147,220,43,31,5,0,14701
4360,1995,10,45,0,all-offenses,0,0,20,19,9,5,0,2,0,0,0
4361,2014,32491,54922,10564,all-offenses,21815,60,5779,26438,21561,13132,6934,1758,314,66,120
4362,2017,247,481,411,all-offenses,555,1,61,180,177,105,43,13,2,1,1
4363,2006,0,4,0,all-offenses,0,0,1,0,1,1,1,0,0,0,0
4364,2015,130,347,10,all-offenses,7,0,53,75,91,88,102,50,18,2,1
4365,2006,10443,14971,5778,all-offenses,8333,41,2490,8657,6125,3942,1266,241,50,12,35
4366,1991,749,11970,3814,all-offenses,6499,10,2406,5065,2080,372,61,15,5,4,16
4367,1996,3376,13592,27,all-offenses,98,2,6677,5175,3650,1234,138,13,4,0,4
4368,2014,10633,10878,294,all-offenses,874,2,2236,8152,5301,3184,1604,388,56,4,4
4369,2012,62563,176869,921,all-offenses,1384,24,62330,92549,43837,25888,12351,1825,137,19,9
4370,1999,19523,58682,5127,all-offenses,13048,318,16188,19317,18319,10627,3823,1063,326,66,237
4371,2014,2457,13930,277,all-offenses,1447,7,1471,6036,4261,2168,993,206,55,10,10
4372,2010,0,1,0,all-offenses,0,0,0,0,1,0,0,0,0,0,0
4373,2007,297,881,79,all-offenses,191,7,222,278,239,199,84,26,5,2,4
4374,1998,149,2542,44,all-offenses,182,127,918,502,532,286,123,43,13,1,8
4375,2017,113400,255706,1603,all-offenses,2049,41,63991,137822,96524,43790,21571,4484,380,41,16
4376,2007,334,2162,1580,all-offenses,1822,9,522,760,484,346,96,16,3,0,18
4377,1991,1,5,0,all-offenses,0,0,0,4,0,1,0,1,0,0,0
4378,1992,153,112,7635,all-offenses,7673,0,33,50,57,4,3,0,0,0,80
4379,1995,19854,35177,283,all-offenses,1639,601,26500,11159,9170,4044,1203,543,337,72,46
4380,2001,60,235,8,all-offenses,17,0,31,67,50,62,56,14,5,0,1
4381,2016,82504,252338,110278,all-offenses,125279,3702,81110,109333,66984,32183,19750,4778,1026,279,696
4382,1991,6533,3829,188,all-offenses,543,2,454,1935,1525,611,179,60,8,0,5233
4383,1994,8937,49171,62977,all-offenses,67185,1709,26806,14087,7962,2345,579,198,64,19,131
4384,2000,102,317,17,all-offenses,50,0,88,99,105,57,28,7,0,0,2
4385,2000,209,1804,1739,all-offenses,1876,18,782,484,321,184,67,15,3,0,2
4386,2014,9789,85490,4887,all-offenses,24509,114,22844,34385,11693,4247,1984,250,25,6,109
4387,2008,3,0,4,all-offenses,4,0,0,0,1,2,0,0,0,0,0
4388,1999,2282,10629,619,all-offenses,902,28,5332,3710,2178,1024,280,46,14,4,12
4389,2010,56,175,4,all-offenses,7,1,31,85,35,47,19,5,3,1,1
4390,2008,12184,18156,7317,all-offenses,10145,41,3117,10044,7681,4651,1528,294,63,9,84
4391,2011,1348,7024,2719,all-offenses,3155,305,3508,1720,1006,790,472,91,24,5,15
4392,2003,1338,19627,438,all-offenses,1709,649,6510,3860,3771,2664,1283,610,271,54,22
4393,1992,778,330,16,all-offenses,54,0,89,241,161,65,16,1,0,0,497
4394,2011,43657,145335,6461,all-offenses,18546,511,33124,65146,36765,24416,12576,3273,790,197,109
4395,1992,103,992,21,all-offenses,118,0,140,478,266,86,24,4,0,0,0
4396,2008,12569,55529,30090,all-offenses,34841,129,18359,20391,12557,8721,2573,374,82,11,150
4397,1991,25702,15394,42269,all-offenses,44937,101,3974,5609,3812,804,219,81,34,10,23784
4398,2008,0,6,0,all-offenses,0,0,4,1,0,1,0,0,0,0,0
4399,2011,2233,1403,14,all-offenses,55,0,203,1135,1068,746,324,84,26,7,2
4400,2014,1203,2428,721,all-offenses,1094,18,670,1175,650,383,290,53,14,0,5
4401,2008,8643,74539,2028,all-offenses,4082,272,27393,30006,11265,7390,3482,1001,228,59,32
4402,1991,78,129,6,all-offenses,8,0,10,40,39,30,21,8,1,0,56
4403,1996,80,712,181,all-offenses,237,4,320,229,109,43,24,5,1,0,1
